,movie,release_year,runtime,genre
0,The Shawshank Redemption,1994,142 min,Drama            
1,The Dark Knight,2008,152 min,"Action, Crime, Drama            "
2,Inception,2010,148 min,"Action, Adventure, Sci-Fi            "
3,Fight Club,1999,139 min,Drama            
4,Pulp Fiction,1994,154 min,"Crime, Drama            "
5,Forrest Gump,1994,142 min,"Drama, Romance            "
6,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Adventure, Drama, Fantasy            "
7,The Matrix,1999,136 min,"Action, Sci-Fi            "
8,The Lord of the Rings: The Return of the King,2003,201 min,"Adventure, Drama, Fantasy            "
9,The Godfather,1972,175 min,"Crime, Drama            "
10,The Dark Knight Rises,2012,164 min,"Action, Thriller            "
11,The Lord of the Rings: The Two Towers,2002,179 min,"Adventure, Drama, Fantasy            "
12,Se7en,1995,127 min,"Crime, Drama, Mystery            "
13,Gladiator,2000,155 min,"Action, Adventure, Drama            "
14,Django Unchained,2012,165 min,"Drama, Western            "
15,Batman Begins,2005,140 min,"Action, Adventure            "
16,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi            "
17,The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller            "
18,Star Wars,1977,121 min,"Action, Adventure, Fantasy            "
19,Inglourious Basterds,2009,153 min,"Adventure, Drama, War            "
20,Saving Private Ryan,1998,169 min,"Drama, War            "
21,Schindler's List,1993,195 min,"Biography, Drama, History            "
22,The Departed,2006,151 min,"Crime, Drama, Thriller            "
23,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi            "
24,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy            "
25,Avatar,2009,162 min,"Action, Adventure, Fantasy            "
26,Memento,2000,113 min,"Mystery, Thriller            "
27,The Green Mile,1999,189 min,"Crime, Drama, Fantasy            "
28,Shutter Island,2010,138 min,"Mystery, Thriller            "
29,The Godfather: Part II,1974,202 min,"Crime, Drama            "
30,American Beauty,1999,122 min,Drama            
31,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy            "
32,Titanic,1997,194 min,"Drama, Romance            "
33,V for Vendetta,2005,132 min,"Action, Drama, Sci-Fi            "
34,American History X,1998,119 min,Drama            
35,Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi            "
36,Léon,1994,110 min,"Action, Crime, Drama            "
37,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi            "
38,The Usual Suspects,1995,106 min,"Crime, Mystery, Thriller            "
39,Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Thriller            "
40,WALL·E,2008,98 min,"Animation, Adventure, Family            "
41,Goodfellas,1990,146 min,"Biography, Crime, Drama            "
42,Braveheart,1995,178 min,"Biography, Drama, History            "
43,Finding Nemo,2003,100 min,"Animation, Adventure, Comedy            "
44,Iron Man,2008,126 min,"Action, Adventure, Sci-Fi            "
45,Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy            "
46,The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller            "
47,Up,2009,96 min,"Animation, Adventure, Comedy            "
48,The Truman Show,1998,103 min,"Comedy, Drama, Sci-Fi            "
49,The Lion King,1994,88 min,"Animation, Adventure, Drama            "
